,close,high,low,open,date
2022-03-21,307.053,314.283,302.363,304.993,2022-03-21
2022-03-22,331.327,332.62,307.25,310,2022-03-22
2022-03-23,333.037,346.9,325.467,326.647,2022-03-23
2022-03-24,337.973,341.497,329.6,336.577,2022-03-24
2022-03-25,336.88,340.6,332.44,336,2022-03-25
2022-03-28,363.947,365.96,351.2,355.033,2022-03-28
2022-03-29,366.523,371.59,357.703,369.33,2022-03-29
2022-03-30,364.663,371.317,361.333,363.723,2022-03-30
2022-03-31,359.2,367.713,358.88,364.857,2022-03-31
2022-04-01,361.53,364.917,355.547,360.383,2022-04-01
2022-04-04,381.817,383.303,357.51,363.127,2022-04-04
2022-04-05,363.753,384.29,362.433,378.767,2022-04-05
2022-04-06,348.587,359.667,342.567,357.823,2022-04-06
2022-04-07,352.42,358.863,340.513,350.797,2022-04-07
2022-04-08,341.83,349.48,340.812,347.737,2022-04-08
2022-04-11,325.31,336.156,324.88,326.8,2022-04-11
2022-04-12,328.983,340.397,325.533,332.547,2022-04-12
2022-04-13,340.79,342.08,324.366,327.025,2022-04-13
2022-04-14,328.333,337.57,327.397,333.097,2022-04-14
2022-04-18,334.763,338.307,324.47,329.677,2022-04-18
2022-04-19,342.717,344.98,331.775,335.02,2022-04-19
2022-04-20,325.733,344.667,325.083,343.333,2022-04-20
2022-04-21,336.26,364.073,332.138,358.243,2022-04-21
2022-04-22,335.017,344.95,331.333,338.303,2022-04-22
2022-04-25,332.673,336.207,325.1,326.323,2022-04-25
2022-04-26,292.14,333.333,291.667,331.81,2022-04-26
2022-04-27,293.837,306,292.453,299.527,2022-04-27
2022-04-28,292.503,300,273.9,299.993,2022-04-28
2022-04-29,290.253,311.467,290,300.75,2022-04-29
2022-05-02,300.98,302.12,282.677,286.923,2022-05-02
2022-05-03,303.083,308.027,296.197,301.06,2022-05-03
2022-05-04,317.54,318.5,295.093,301.313,2022-05-04
2022-05-05,291.093,315.2,285.9,313.07,2022-05-05
2022-05-06,288.55,296,281.035,295.667,2022-05-06
2022-05-09,262.37,281.877,260.383,278.817,2022-05-09
2022-05-10,266.68,275.12,258.083,273.103,2022-05-10
2022-05-11,244.667,269.923,242.4,265,2022-05-11
2022-05-12,242.667,253.22,226.667,233.667,2022-05-12
2022-05-13,256.53,262.45,250.522,257.827,2022-05-13
2022-05-16,241.457,256.587,239.696,255.72,2022-05-16
2022-05-17,253.87,254.827,242.95,249.12,2022-05-17
2022-05-18,236.603,253.5,233.603,248.173,2022-05-18
2022-05-19,236.473,244.667,231.37,235.667,2022-05-19
2022-05-20,221.3,240.527,211,237.997,2022-05-20
2022-05-23,224.967,226.652,212.687,218.34,2022-05-23
2022-05-24,209.387,217.973,206.857,217.843,2022-05-24
2022-05-25,219.6,223.107,207.67,207.95,2022-05-25
2022-05-26,235.91,239.557,217.887,220.473,2022-05-26
2022-05-27,253.21,253.267,240.177,241.083,2022-05-27
2022-05-31,252.753,259.6,244.743,257.947,2022-05-31
2022-06-01,246.79,257.327,243.64,251.72,2022-06-01
2022-06-02,258.333,264.21,242.067,244.157,2022-06-02
2022-06-03,234.517,247.797,233.418,243.225,2022-06-03
2022-06-06,238.28,244.867,234.35,244.353,2022-06-06
2022-06-07,238.887,239.997,230.093,234,2022-06-07
2022-06-08,241.867,249.963,239.177,240.087,2022-06-08
2022-06-09,239.707,255.547,239.327,249.34,2022-06-09
2022-06-10,232.23,239.5,227.913,235.157,2022-06-10
2022-06-13,215.737,226.633,214.683,223.167,2022-06-13
2022-06-14,220.89,226.33,211.737,218.287,2022-06-14
2022-06-15,233,235.663,218.15,220.917,2022-06-15
2022-06-16,213.1,225.167,208.693,222.737,2022-06-16
2022-06-17,216.76,220.969,213.197,213.433,2022-06-17
2022-06-21,237.037,243.577,224.333,224.603,2022-06-21
2022-06-22,236.087,246.833,233.827,234.503,2022-06-22
2022-06-23,235.07,239.317,228.637,237.905,2022-06-23
2022-06-24,245.707,246.067,236.087,237.468,2022-06-24
2022-06-27,244.92,252.07,242.566,249.367,2022-06-27
2022-06-28,232.663,249.97,232.343,244.483,2022-06-28
2022-06-29,228.49,231.173,222.273,230.5,2022-06-29
2022-06-30,224.473,229.457,218.863,224.51,2022-06-30
2022-07-01,227.263,230.23,222.12,227,2022-07-01
2022-07-05,233.067,233.147,216.167,223,2022-07-05
2022-07-06,231.733,234.563,227.187,230.78,2022-07-06
2022-07-07,244.543,245.362,232.21,233.92,2022-07-07
2022-07-08,250.763,254.98,241.161,242.333,2022-07-08
2022-07-11,234.343,253.063,233.627,252.103,2022-07-11
2022-07-12,233.07,239.773,228.368,236.847,2022-07-12
2022-07-13,237.04,242.06,225.033,225.5,2022-07-13
2022-07-14,238.313,238.653,229.333,234.897,2022-07-14
2022-07-15,240.067,243.623,236.89,240,2022-07-15
2022-07-18,240.547,250.517,239.603,244.937,2022-07-18
2022-07-19,245.53,247.14,236.977,245,2022-07-19
2022-07-20,247.5,250.663,243.483,246.783,2022-07-20
2022-07-21,271.707,273.267,254.867,255.107,2022-07-21
2022-07-22,272.243,280.787,270.713,276.22,2022-07-22
2022-07-25,268.433,274.147,267.4,272.217,2022-07-25
2022-07-26,258.86,267.31,256.263,266.513,2022-07-26
2022-07-27,274.82,275.926,261.79,263.81,2022-07-27
2022-07-28,280.9,283.3,272.8,280.067,2022-07-28
2022-07-29,297.15,298.32,279.1,280.7,2022-07-29
2022-08-01,297.277,311.878,295,301.275,2022-08-01
2022-08-02,300.587,307.833,292.667,294.003,2022-08-02
2022-08-03,307.397,309.55,301.15,305,2022-08-03
2022-08-04,308.633,313.607,305,311,2022-08-04
2022-08-05,288.17,304.607,285.545,302.67,2022-08-05
2022-08-08,290.423,305.2,289.085,295,2022-08-08
2022-08-09,283.333,292.397,279.353,290.293,2022-08-09
2022-08-10,294.357,297.51,283.37,297.067,2022-08-10
2022-08-11,286.63,298.237,285.833,296.513,2022-08-11
2022-08-12,300.03,300.16,285.033,289.415,2022-08-12
2022-08-15,309.32,313.133,301.23,301.787,2022-08-15
2022-08-16,306.563,314.667,302.883,311.667,2022-08-16
2022-08-17,303.997,309.657,300.033,303.397,2022-08-17
2022-08-18,302.87,306.5,301.853,306,2022-08-18
2022-08-19,296.667,300.36,292.5,299,2022-08-19
2022-08-22,289.913,292.4,286.297,291.913,2022-08-22
2022-08-23,296.453,298.827,287.923,291.453,2022-08-23
2022-08-24,297.0967,303.6467,296.5,297.5633,2022-08-24
2022-08-25,296.07,302.96,291.6,302.36,2022-08-25
2022-08-26,288.09,302,287.47,297.43,2022-08-26
2022-08-29,284.82,287.74,280.7,282.83,2022-08-29
2022-08-30,277.7,288.48,272.65,287.865,2022-08-30
2022-08-31,275.61,281.25,271.81,280.62,2022-08-31
2022-09-01,277.16,277.58,266.15,272.575,2022-09-01
2022-09-02,270.21,282.35,269.08,281.065,2022-09-02
2022-09-06,274.42,275.99,265.74,272.675,2022-09-06
2022-09-07,283.7,283.84,272.27,273.1,2022-09-07
2022-09-08,289.26,289.5,279.76,281.3,2022-09-08
2022-09-09,299.68,299.85,291.245,291.67,2022-09-09
2022-09-12,304.42,305.49,300.4,300.72,2022-09-12
2022-09-13,292.13,297.3999,290.4,292.9,2022-09-13
2022-09-14,302.61,306,291.64,292.24,2022-09-14
2022-09-15,303.75,309.12,300.7247,301.825,2022-09-15
2022-09-16,303.35,303.71,295.6005,299.605,2022-09-16
2022-09-19,309.07,309.84,297.8,300.09,2022-09-19
2022-09-20,308.73,313.33,305.58,306.91,2022-09-20
2022-09-21,300.8,313.8,300.63,308.29,2022-09-21
2022-09-22,288.59,301.29,285.82,299.86,2022-09-22
2022-09-23,275.33,284.5,272.82,283.09,2022-09-23
2022-09-26,276.01,284.09,270.31,271.83,2022-09-26
2022-09-27,282.94,288.67,277.51,283.84,2022-09-27
2022-09-28,287.81,289,277.57,283.08,2022-09-28
2022-09-29,268.21,283.65,265.78,282.76,2022-09-29
2022-09-30,265.25,275.57,262.47,266.145,2022-09-30
2022-10-03,242.4,255.16,241.01,254.5,2022-10-03
2022-10-04,249.44,257.5,242.01,250.52,2022-10-04
2022-10-05,240.81,246.6697,233.27,245.01,2022-10-05
2022-10-06,238.13,244.58,235.35,239.44,2022-10-06
2022-10-07,223.07,234.5715,222.02,233.935,2022-10-07
2022-10-10,222.96,226.99,218.3582,223.93,2022-10-10
2022-10-11,216.5,225.75,215,220.945,2022-10-11
2022-10-12,217.24,219.2999,211.51,215.33,2022-10-12
2022-10-13,221.72,222.99,206.22,208.3,2022-10-13
2022-10-14,204.99,226.26,204.16,224.01,2022-10-14
2022-10-17,219.35,221.86,209.45,210.04,2022-10-17
2022-10-18,220.19,229.82,217.25,229.5,2022-10-18
2022-10-19,222.04,222.93,217.78,219.8,2022-10-19
2022-10-20,207.28,215.55,202,208.28,2022-10-20
2022-10-21,214.44,214.66,203.8,206.415,2022-10-21
2022-10-24,211.25,213.5,198.5863,205.82,2022-10-24
2022-10-25,222.415,224.3498,210,210.1,2022-10-25
2022-10-26,224.64,230.6,218.2,219.4,2022-10-26
2022-10-27,225.09,233.81,222.85,229.77,2022-10-27
2022-10-28,228.52,228.86,216.35,225.4,2022-10-28
2022-10-31,227.54,229.85,221.94,226.19,2022-10-31
2022-11-01,227.82,237.3951,227.28,234.05,2022-11-01
2022-11-02,214.98,227.8699,214.82,226.04,2022-11-02
2022-11-03,215.31,221.2,210.14,211.36,2022-11-03
2022-11-04,207.47,223.8,203.08,222.6,2022-11-04
2022-11-07,197.08,208.9,196.66,208.65,2022-11-07
2022-11-08,191.3,195.2,186.75,194.02,2022-11-08
2022-11-09,177.59,195.89,177.12,190.775,2022-11-09
2022-11-10,190.72,191,180.03,189.9,2022-11-10
2022-11-11,195.97,196.52,182.59,186,2022-11-11
2022-11-14,190.95,195.73,186.34,192.77,2022-11-14
2022-11-15,194.42,200.8237,192.06,195.88,2022-11-15
2022-11-16,186.92,192.57,185.66,191.51,2022-11-16
2022-11-17,183.17,186.16,180.9,183.96,2022-11-17
2022-11-18,180.19,185.19,176.55,185.05,2022-11-18
2022-11-21,167.87,176.77,167.54,175.85,2022-11-21
2022-11-22,169.91,170.92,166.185,168.63,2022-11-22
2022-11-23,183.2,183.62,172.5,173.57,2022-11-23
2022-11-25,182.86,185.2,180.63,185.06,2022-11-25
2022-11-28,182.92,188.5,179,179.96,2022-11-28
2022-11-29,180.83,186.38,178.75,184.99,2022-11-29
2022-11-30,194.7,194.76,180.6301,182.43,2022-11-30
2022-12-01,194.7,198.92,191.8,197.08,2022-12-01
