Date,Open,High,Low,Close*,Adj Close**,Volume
11-Mar-21,"32,354.50","32,661.59","32,345.70","32,485.59","32,485.59","400,020,000"
12-Mar-21,"32,462.40","32,793.32","32,462.40","32,778.64","32,778.64","346,400,000"
15-Mar-21,"32,798.84","32,973.40","32,629.75","32,953.46","32,953.46","360,080,000"
16-Mar-21,"32,966.75","32,966.75","32,778.23","32,825.95","32,825.95","386,370,000"
17-Mar-21,"32,825.52","33,047.58","32,782.18","33,015.37","33,015.37","391,200,000"
18-Mar-21,"32,928.16","33,227.78","32,831.25","32,862.30","32,862.30","418,480,000"
19-Mar-21,"32,858.36","32,858.36","32,505.07","32,627.97","32,627.97","811,890,000"
22-Mar-21,"32,601.82","32,810.35","32,512.53","32,731.20","32,731.20","383,500,000"
23-Mar-21,"32,691.50","32,753.77","32,356.28","32,423.15","32,423.15","385,840,000"
24-Mar-21,"32,470.88","32,787.99","32,418.15","32,420.06","32,420.06","399,390,000"
25-Mar-21,"32,346.81","32,672.69","32,071.41","32,619.48","32,619.48","411,990,000"
26-Mar-21,"32,681.07","33,098.83","32,681.07","33,072.88","33,072.88","382,170,000"
29-Mar-21,"33,087.55","33,259.00","32,905.13","33,171.37","33,171.37","351,610,000"
30-Mar-21,"33,127.88","33,170.93","32,988.92","33,066.96","33,066.96","307,510,000"
31-Mar-21,"33,116.04","33,173.77","32,980.57","32,981.55","32,981.55","414,140,000"
1-Apr-21,"33,054.58","33,167.17","32,985.35","33,153.21","33,153.21","311,880,000"
5-Apr-21,"33,222.38","33,617.95","33,222.38","33,527.19","33,527.19","344,270,000"
6-Apr-21,"33,500.02","33,544.79","33,380.43","33,430.24","33,430.24","297,940,000"
7-Apr-21,"33,444.98","33,521.76","33,347.96","33,446.26","33,446.26","273,440,000"
8-Apr-21,"33,469.89","33,506.80","33,342.64","33,503.57","33,503.57","304,040,000"
9-Apr-21,"33,526.19","33,810.87","33,526.19","33,800.60","33,800.60","316,410,000"
12-Apr-21,"33,775.06","33,786.19","33,665.54","33,745.40","33,745.40","327,370,000"
13-Apr-21,"33,721.16","33,741.64","33,545.84","33,677.27","33,677.27","324,480,000"
14-Apr-21,"33,668.95","33,911.25","33,668.95","33,730.89","33,730.89","315,330,000"
15-Apr-21,"33,788.53","34,068.73","33,788.53","34,035.99","34,035.99","319,680,000"
16-Apr-21,"34,058.16","34,256.75","34,058.16","34,200.67","34,200.67","343,760,000"
19-Apr-21,"34,182.38","34,182.38","33,980.56","34,077.63","34,077.63","312,540,000"
20-Apr-21,"34,034.18","34,034.18","33,687.01","33,821.30","33,821.30","350,960,000"
21-Apr-21,"33,808.30","34,160.34","33,773.80","34,137.31","34,137.31","290,300,000"
22-Apr-21,"34,109.88","34,126.57","33,717.19","33,815.90","33,815.90","344,470,000"
23-Apr-21,"33,804.52","34,157.57","33,713.29","34,043.49","34,043.49","346,380,000"
26-Apr-21,"34,044.23","34,148.94","33,941.37","33,981.57","33,981.57","279,300,000"
27-Apr-21,"33,932.13","34,043.98","33,870.46","33,984.93","33,984.93","289,030,000"
28-Apr-21,"33,860.46","33,946.60","33,805.56","33,820.38","33,820.38","335,820,000"
29-Apr-21,"33,855.64","34,087.21","33,744.28","34,060.36","34,060.36","408,450,000"
30-Apr-21,"33,988.75","33,988.75","33,784.96","33,874.85","33,874.85","374,890,000"
3-May-21,"33,904.89","34,221.06","33,904.89","34,113.23","34,113.23","289,770,000"
4-May-21,"34,080.20","34,147.78","33,765.68","34,133.03","34,133.03","407,860,000"
5-May-21,"34,163.99","34,331.20","34,039.66","34,230.34","34,230.34","253,180,000"
6-May-21,"34,245.11","34,561.29","34,185.06","34,548.53","34,548.53","315,430,000"
7-May-21,"34,578.27","34,811.39","34,464.31","34,777.76","34,777.76","303,400,000"
10-May-21,"34,785.27","35,091.56","34,741.57","34,742.82","34,742.82","361,620,000"
11-May-21,"34,572.74","34,572.74","34,075.31","34,269.16","34,269.16","413,180,000"
12-May-21,"34,206.40","34,207.87","33,555.22","33,587.66","33,587.66","381,350,000"
13-May-21,"33,624.74","34,181.77","33,623.49","34,021.45","34,021.45","350,820,000"
14-May-21,"34,050.86","34,454.05","34,050.86","34,382.13","34,382.13","303,230,000"
17-May-21,"34,375.29","34,383.84","34,176.65","34,327.79","34,327.79","291,910,000"
18-May-21,"34,351.18","34,408.99","34,044.10","34,060.66","34,060.66","289,590,000"
19-May-21,"33,945.81","33,945.81","33,473.80","33,896.04","33,896.04","348,480,000"
20-May-21,"33,906.30","34,233.40","33,872.41","34,084.15","34,084.15","320,150,000"
21-May-21,"34,121.91","34,415.48","34,121.91","34,207.84","34,207.84","306,360,000"
24-May-21,"34,253.87","34,472.51","34,253.87","34,393.98","34,393.98","251,010,000"
25-May-21,"34,428.66","34,511.35","34,266.03","34,312.46","34,312.46","285,760,000"
26-May-21,"34,336.34","34,409.59","34,271.44","34,323.05","34,323.05","258,780,000"
27-May-21,"34,432.47","34,608.82","34,389.24","34,464.64","34,464.64","520,630,000"
28-May-21,"34,558.50","34,631.11","34,520.09","34,529.45","34,529.45","290,850,000"
1-Jun-21,"34,584.19","34,849.32","34,542.87","34,575.31","34,575.31","287,700,000"
2-Jun-21,"34,614.62","34,706.65","34,545.96","34,600.38","34,600.38","263,810,000"
3-Jun-21,"34,550.31","34,667.41","34,334.41","34,577.04","34,577.04","297,380,000"
4-Jun-21,"34,618.69","34,772.12","34,618.69","34,756.39","34,756.39","270,050,000"
