,tweet,date,id,location,id_user,score,Country,Country_real,Compound
895,.@Tesla cars stay in their lane to avoid crashes.  So should you. https://t.co/yTtHLEV58W,2022-12-11 23:58:23+00:00,1602090448759275520,"New York, NY",14548019,"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.296}",New York NY,United States,-0.296
896,"RT @JoshuaMZeitz: It’s within Elon’s rights to trade in Pepe the Frog memes &amp; transphobic &amp; homophobic barbs, or to yuck it up with antisem…",2022-12-11 23:58:21+00:00,1602090443449470977,Australia,63595490,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Australia,Australia,0.0
897,"RT @PalimenoForGAD1: @elonmusk You’re scum. Nothing matters as long as you stay entertained and keep minerals flowing for your EVs. 

WTF i…",2022-12-11 23:58:20+00:00,1602090438781026305,,1374492482356924423,"{'neg': 0.205, 'neu': 0.696, 'pos': 0.099, 'compound': -0.4417}",,,-0.4417
898,RT @Timesofgaza: lsraeli sniper executes a 16-year-old Palestinian girl in Jenin.,2022-12-11 23:58:20+00:00,1602090438730866688,"California, USA",1344479721883463686,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",California USA,United States,0.0
899,"RT @larrybrilliant: The context for this is that Elon Musk, a great rocket and car maker, has called for the prosecution of Tony Fauci, a g…",2022-12-11 23:58:20+00:00,1602090436377513984,"Albuquerque, New Mexico, USA",42252976,"{'neg': 0.109, 'neu': 0.751, 'pos': 0.14, 'compound': 0.2263}",Albuquerque New Mexico USA,United States,0.2263
900,Ford F-150 Lightning Real-World Towing Test And Jumping Attempt https://t.co/XjoF9LhKWg #ElectricVehicles #Tesla… https://t.co/o66EdfOoxT,2022-12-11 23:59:58+00:00,1602090850451951616,,1096724430087208960,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
901,RT @BillyBaldwin: Retweet if you pronouns are Boycott/ Tesla.,2022-12-11 23:59:57+00:00,1602090844303106049,,1403746412,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",,,0.0
902,"@j32pmxr @LitterickB @extravatrek @truth_tesla @DirtyTesLa @elonmusk @F1Womble Indeed, and is exactly why I left hi… https://t.co/RN1pglrXNs",2022-12-11 23:59:57+00:00,1602090844235993093,Wisconsin ,1511452245510004738,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Wisconsin,United States,0.0
903,@elonmusk V11 would make it the best Sunday ever! But happy Sunday to you too. The latest Xfinity XB8 gateway force… https://t.co/3wnnWGwd8k,2022-12-11 23:59:56+00:00,1602090840851066881,"Denver, CO",1594435012577103872,"{'neg': 0.0, 'neu': 0.716, 'pos': 0.284, 'compound': 0.8378}",Denver CO,United States,0.8378
904,https://t.co/SHqdpbP3PY : a8836fa9-7846-4c3e-a778-393b924cf827,2022-12-11 23:59:56+00:00,1602090838955261952,"Alsace, France",2669983818,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Alsace France,France,0.0
905,"@growing_daniel took your tesla, job, wife, and husband and now you’ve pulled a Kanye on ‘im",2022-12-11 23:59:55+00:00,1602090836727980032,"Rocky Mountains, USA",1566845747135676416,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Rocky Mountains USA,United States,0.0
