tweet,date,id,location,id_user,score
RT @Tesla: Delivered our first Tesla Semis last week ✌️ https://t.co/4o2tlkDcyH,2022-12-08 23:58:58+00:00,1601003435272572928,Italy 🇮🇹🇮🇹🇺🇸🇺🇸,1251827041357508610,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @QasimRashid: Hate speech under new Twitter:
•Anti-Black Slurs:🔺202%
•Antisemitism:🔺61%
•Homophobic Slurs:🔺58%

Meanwhile:
•Top 100 Adve…",2022-12-08 23:58:56+00:00,1601003424320917504,,1466654420217868292,"{'neg': 0.198, 'neu': 0.802, 'pos': 0.0, 'compound': -0.5719}"
"@themarketisopen @MuskShort @bagguley @RemindMe_OfThis But yeah for building a dedicated robo taxi or for hardware,… https://t.co/bU7IDuH9CP",2022-12-08 23:58:56+00:00,1601003423687938052,"Niagara Falls, Ontario",1309490345068113920,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.7783}"
"RT @elonmusk: @iliketeslas I continue to oversee both Tesla &amp; SpaceX, but the teams there are so good that often little is needed from me",2022-12-08 23:58:54+00:00,1601003416834097153,,1511081539269914624,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7279}"
"RT @elonmusk: @iliketeslas I continue to oversee both Tesla &amp; SpaceX, but the teams there are so good that often little is needed from me",2022-12-08 23:58:51+00:00,1601003402833469440,Mars,1581414303885922304,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7279}"
"RT @watermelonbat: Is this even true? $10,000 lottery to get the Covid shot? https://t.co/yjsBsq584Y",2022-12-08 23:58:48+00:00,1601003392763301888,"Budva, Montenegro",3380434083,"{'neg': 0.0, 'neu': 0.804, 'pos': 0.196, 'compound': 0.4871}"
RT @EzerRatchaga: For those that still thinks buybacks can save Tesla from any economic crash. Btw. META spent 6.5B on buybacks in Q3 2022…,2022-12-08 23:58:46+00:00,1601003383653273600,"Austin, TX",1525190834634821633,"{'neg': 0.097, 'neu': 0.789, 'pos': 0.115, 'compound': 0.128}"
"RT @lopezlinette: That time Elon told his engineers to stop doing brake tests on Model 3s. The tests were finding too many defects, and he…",2022-12-08 23:58:44+00:00,1601003375252111362,,1197488167311597568,"{'neg': 0.176, 'neu': 0.824, 'pos': 0.0, 'compound': -0.5994}"
"@WholeMarsBlog Tesla was pre priced on what was speculated it was going to do in the future, those market condition… https://t.co/NTHPPjE6mR",2022-12-08 23:58:44+00:00,1601003374350340096,"Boca Raton, FL",903050798,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"@jamisonfoser Either way. Also, significant procedural barriers to suit. And very hard to show connection between T… https://t.co/mpX8R4ozuK",2022-12-08 23:58:43+00:00,1601003371489464320,,911591246677889024,"{'neg': 0.087, 'neu': 0.821, 'pos': 0.092, 'compound': 0.0276}"
"RT @duty2warn: @murrayb560sl I think the bankers stay out of the politics. They're in the money game. Musk is bleeding $ at Twitter, and Te…",2022-12-08 23:58:42+00:00,1601003367743909888,Killaloe Co. Clare🇮🇪Éire🇮🇪,742691189514772484,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@elonmusk @iliketeslas it seems like the speed of progress and innovation has slowed down somewhat in the past year… https://t.co/swfGObg64o,2022-12-08 23:58:42+00:00,1601003366175633408,"Russia, Moscow",917538779732332544,"{'neg': 0.0, 'neu': 0.683, 'pos': 0.317, 'compound': 0.7845}"
RT @Tesla: Configurator now live in Thailand 🇹🇭 → https://t.co/3lVkllVQJ4,2022-12-08 23:58:39+00:00,1601003352149876736,Italy 🇮🇹🇮🇹🇺🇸🇺🇸,1251827041357508610,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @elonmusk: @iliketeslas I continue to oversee both Tesla &amp; SpaceX, but the teams there are so good that often little is needed from me",2022-12-08 23:58:38+00:00,1601003351461675008,,230031790,"{'neg': 0.0, 'neu': 0.818, 'pos': 0.182, 'compound': 0.7279}"
RT @lopezlinette: Tesla put batteries with potentially defective cooling systems in people's cars. And they knew about it. https://t.co/oKO…,2022-12-08 23:58:35+00:00,1601003339465912320,,1197488167311597568,"{'neg': 0.139, 'neu': 0.861, 'pos': 0.0, 'compound': -0.4404}"
RT @Tesla: Delivered our first Tesla Semis last week ✌️ https://t.co/4o2tlkDcyH,2022-12-08 23:58:35+00:00,1601003336244727809,twilight zone ,1051913280556605441,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
RT @BusinessInsider: A Warren Buffet-backed Tesla competitor is making a dent in Elon Musk's EV empire https://t.co/ke8wxFPaRK,2022-12-08 23:58:33+00:00,1601003328615612416,,1139109306974912512,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
@SeekLiberty1 @RealRoseBunny @TitterTakeover lmao he slept under a desk for years at tesla… in a tiny home at spacex…this is nice for him,2022-12-08 23:58:32+00:00,1601003324903657472,,3149126609,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.7717}"
"RT @elonmusk: @SawyerMerritt Tesla Team has done incredibly well, despite extremely difficult times. Could not be more proud of them.",2022-12-08 23:58:29+00:00,1601003312827969537,,1542827630109540353,"{'neg': 0.113, 'neu': 0.694, 'pos': 0.193, 'compound': 0.238}"
